Start	Stop	Orientation	Length	LocusID	Class	Product	Note	SignalPeptide
64665	66170	+	1506	Amuc_0048	CDS	MATE efflux family protein	TIGRFAM: MATE efflux family protein; PFAM: multi antimicrobial extrusion protein MatE; KEGG: hau:Haur_3692 MATE efflux family protein	-
66291	66366	+	76	Amuc_R0005	tRNA	tRNA-Met	-	-
66361	66591	-	231	Amuc_0049	CDS	hypothetical protein	-	-
66594	67443	-	850	Amuc_0050	pseduogene	pseduogene	-	-
68018	69757	-	1740	Amuc_0051	CDS	single-stranded-DNA-specific exonuclease RecJ	TIGRFAM: single-stranded-DNA-specific exonuclease RecJ; PFAM: phosphoesterase RecJ domain protein; phosphoesterase DHHA1; KEGG: gme:Gmet_0857 RecJ exonuclease	-
69948	72809	-	2862	Amuc_0052	CDS	Hyalurononglucosaminidase	PFAM: coagulation factor 5/8 type domain protein; Hyaluronidase; KEGG: bfs:BF3796 putative exported hyaluronidase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 1.000 at residue 24
73252	74193	+	942	Amuc_0053	CDS	periplasmic solute binding protein	PFAM: periplasmic solute binding protein; KEGG: csa:Csal_0220 periplasmic solute binding protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.998 at residue 25
74190	74624	+	435	Amuc_0054	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.809) with cleavage site probability 0.576 at residue 28
74621	75421	+	801	Amuc_0055	CDS	ABC transporter related	PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: rrs:RoseRS_1257 ABC transporter related	-
75418	76281	+	864	Amuc_0056	CDS	ABC-3 protein	PFAM: ABC-3 protein; KEGG: btl:BALH_2849 manganese ABC transporter, permease	-
76349	76885	+	537	Amuc_0057	CDS	UvrB/UvrC protein	PFAM: UvrB/UvrC protein; KEGG: tte:TTE2329 hypothetical protein	-
76891	77946	+	1056	Amuc_0058	CDS	ATP:guanido phosphotransferase	PFAM: ATP:guanido phosphotransferase; KEGG: mta:Moth_0161 ATP:guanido phosphotransferase	-
77975	80557	+	2583	Amuc_0059	CDS	ATPase AAA-2 domain protein	PFAM: UvrB/UvrC protein; AAA ATPase central domain protein; Clp domain protein; ATPase associated with various cellular activities AAA_5; ATPase AAA-2 domain protein; SMART: AAA ATPase; KEGG: pcu:pc1511 probable endopeptidase ATP-binding chain ClpC	-
80688	83234	+	2547	Amuc_0060	CDS	Alpha-N-acetylglucosaminidase	PFAM: alpha-N-acetylglucosaminidase; KEGG: ccr:CC_0540 alpha-N-acetylglucosaminidase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.997) with cleavage site probability 0.997 at residue 22
84259	85335	+	1077	Amuc_0061	pseduogene	pseduogene	-	-
85349	86056	+	708	Amuc_0062	CDS	hypothetical protein	KEGG: rca:Rcas_1426 hypothetical protein	-
86369	86710	-	342	Amuc_0063	CDS	Rhodanese domain protein	PFAM: Rhodanese domain protein; KEGG: ade:Adeh_2652 rhodanese-like protein	-
86946	87824	-	879	Amuc_0064	CDS	5-oxopent-3-ene-1,2,5-tricarboxylatedecarboxylase	PFAM: fumarylacetoacetate (FAA) hydrolase; KEGG: rsh:Rsph17029_1807 5-carboxymethyl-2-hydroxymuconate delta-isomerase	-
87991	89547	+	1557	Amuc_0065	CDS	2-isopropylmalate synthase	TIGRFAM: 2-isopropylmalate synthase; PFAM: pyruvate carboxyltransferase; LeuA allosteric (dimerisation) domain; KEGG: mta:Moth_2255 2-isopropylmalate synthase	-
89669	90583	+	915	Amuc_0066	CDS	putative ATP/GTP-binding protein	KEGG: fps:FP1581 putative ATP/GTP-binding protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.942 at residue 17
90682	91158	+	477	Amuc_0067	CDS	GatB/YqeY domain protein	KEGG: dvl:Dvul_1367 GatB/YqeY domain protein	-
91155	91850	+	696	Amuc_0068	CDS	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	TIGRFAM: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; PFAM: 4-diphosphocytidyl-2C-methyl-D-erythritol synthase; KEGG: cth:Cthe_2941 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	-
91847	92701	+	855	Amuc_0069	CDS	NAD-dependent epimerase/dehydratase	PFAM: NAD-dependent epimerase/dehydratase; 3-beta hydroxysteroid dehydrogenase/isomerase; dTDP-4-dehydrorhamnose reductase; KEGG: art:Arth_0902 NAD-dependent epimerase/dehydratase	-
92893	93858	+	966	Amuc_0070	CDS	tryptophanyl-tRNA synthetase	KEGG: rba:RB6436 tryptophanyl-tRNA synthetase; TIGRFAM: tryptophanyl-tRNA synthetase; PFAM: aminoacyl-tRNA synthetase class Ib	-
93947	94417	+	471	Amuc_0071	CDS	UspA domain protein	PFAM: UspA domain protein; KEGG: sru:SRU_1737 universal stress protein family	-
94451	95254	+	804	Amuc_0072	CDS	metallophosphoesterase	PFAM: metallophosphoesterase; KEGG: tte:TTE1371 hypothetical protein	-
95579	96373	+	795	Amuc_0073	CDS	UBA/THIF-type NAD/FAD binding protein	PFAM: UBA/THIF-type NAD/FAD binding protein; KEGG: yen:YE3305 hypothetical protein	-
96370	96885	+	516	Amuc_0074	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.989) with cleavage site probability 0.407 at residue 23
96989	97074	+	86	Amuc_R0006	tRNA	tRNA-Leu	-	-
97286	98353	-	1068	Amuc_0075	CDS	PfkB domain protein	PFAM: PfkB domain protein; KEGG: tex:Teth514_1119 PfkB domain protein	-
98743	99246	+	504	Amuc_0076	CDS	NUDIX hydrolase	PFAM: NUDIX hydrolase; KEGG: spu:587752 similar to 8-oxo-dGTPase	-
100094	101293	+	1200	Amuc_0077	CDS	2-amino-3-ketobutyrate coenzyme A ligase	TIGRFAM: 2-amino-3-ketobutyrate coenzyme A ligase; PFAM: aminotransferase class I and II; aminotransferase class-III; KEGG: eci:UTI89_C4163 2-amino-3-ketobutyrate coenzyme A ligase	-
101329	103947	+	2619	Amuc_0078	CDS	serine/threonine protein kinase	PFAM: protein of unknown function DUF323; PEGA domain protein; SMART: tyrosine protein kinase; serine/threonine protein kinase; KEGG: ilo:IL2186 secreted protein with uncharacterized domain	-
104109	104879	+	771	Amuc_0079	CDS	Cobyrinic acid ac-diamide synthase	PFAM: Cobyrinic acid ac-diamide synthase; KEGG: sth:STH3333 ParA, ParA family ATPase	-
105086	107872	+	2787	Amuc_0080	CDS	serine/threonine protein kinase	PFAM: Serine/threonine protein kinase-related; SMART: tyrosine protein kinase; serine/threonine protein kinase; KEGG: mgm:Mmc1_1921 serine/threonine protein kinase	-
107958	108536	+	579	Amuc_0081	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.675) with cleavage site probability 0.628 at residue 24
108852	109427	-	576	Amuc_0082	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.970) with cleavage site probability 0.945 at residue 37
109564	110103	-	540	Amuc_0083	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.641 at residue 23
110100	111743	-	1644	Amuc_0084	CDS	hypothetical protein	-	-
112173	112247	+	75	Amuc_R0007	tRNA	tRNA-Cys	-	-
112271	112346	+	76	Amuc_R0008	tRNA	tRNA-Glu	-	-
112400	112657	+	258	Amuc_0085	CDS	thiamine biosynthesis protein ThiS	TIGRFAM: thiamine biosynthesis protein ThiS; PFAM: thiamineS protein; KEGG: gvi:gsl0402 thiamine biosynthesis ThiS	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.941) with cleavage site probability 0.881 at residue 18
112700	114601	+	1902	Amuc_0086	CDS	DNA mismatch repair protein MutL	TIGRFAM: DNA mismatch repair protein MutL; PFAM: ATP-binding region ATPase domain protein; DNA mismatch repair protein domain protein; MutL dimerisation; KEGG: pca:Pcar_1304 DNA mismatch repair enzyme	-
114737	114853	-	117	Amuc_0087	CDS	hypothetical protein	-	-
114937	116889	+	1953	Amuc_0088	CDS	hypothetical protein	KEGG: mms:mma_0637 hypothetical protein	-
117286	117642	+	357	Amuc_0089	CDS	protein of unknown function DUF488	PFAM: protein of unknown function DUF488; KEGG: pcu:pc0505 hypothetical protein	-
117979	118956	-	978	Amuc_0090	CDS	porphobilinogen deaminase	KEGG: rrs:RoseRS_1750 porphobilinogen deaminase; TIGRFAM: porphobilinogen deaminase; PFAM: Porphobilinogen deaminase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.890) with cleavage site probability 0.459 at residue 20
118946	119968	-	1023	Amuc_0091	CDS	glutamyl-tRNA reductase	KEGG: hmo:HM1_1964 glutamyl-tRNA reductase; TIGRFAM: glutamyl-tRNA reductase; PFAM: Shikimate/quinate 5-dehydrogenase; Tetrapyrrole biosynthesis, glutamyl-tRNA reductase-like	-
119968	120726	-	759	Amuc_0092	CDS	cytochrome c assembly protein	PFAM: cytochrome c assembly protein; KEGG: pca:Pcar_3065 cytochrome c biogenesis protein	-
120747	121541	-	795	Amuc_0093	CDS	protein of unknown function DUF198	PFAM: protein of unknown function DUF198; KEGG: mgm:Mmc1_1766 protein of unknown function DUF198	-
121649	121894	-	246	Amuc_0094	CDS	ribosomal protein S18	PFAM: ribosomal protein S18; KEGG: lme:LEUM_1968 ribosomal protein S18	-
121926	122099	-	174	Amuc_0095	CDS	ribosomal protein L33	PFAM: ribosomal protein L33; KEGG: bba:Bd2410.1 50S ribosomal protein L33	-
122133	122756	-	624	Amuc_0096	CDS	transcriptional regulator, TraR/DksA family	PFAM: zinc finger DksA/TraR C4-type; KEGG: nca:Noca_3054 zinc finger, DksA/TraR C4-type	-
123193	124152	+	960	Amuc_0097	CDS	ROK family protein	PFAM: ROK family protein; KEGG: ter:Tery_2875 ROK domain containing protein	-
124157	125125	+	969	Amuc_0098	CDS	Fmu (Sun) domain protein	PFAM: Fmu (Sun) domain protein; KEGG: ana:alr1008 hypothetical protein	-
125132	125641	+	510	Amuc_0099	CDS	phosphodiesterase, MJ0936 family	KEGG: rca:Rcas_2746 phosphodiesterase, MJ0936 family	-
125638	126045	+	408	Amuc_0100	CDS	NUDIX hydrolase	PFAM: NUDIX hydrolase; KEGG: sth:STH2150 MutT-like protein	-
126094	126237	+	144	Amuc_0101	CDS	hypothetical protein	-	-
126754	128151	+	1398	Amuc_0102	CDS	efflux transporter, RND family, MFP subunit	TIGRFAM: efflux transporter, RND family, MFP subunit; PFAM: secretion protein HlyD family protein; KEGG: sfu:Sfum_2811 efflux transporter, RND family, MFP subunit	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.651) with cleavage site probability 0.650 at residue 23
128218	128922	+	705	Amuc_0103	CDS	ABC transporter related	PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: sfu:Sfum_2810 ABC transporter related	-
128919	130283	+	1365	Amuc_0104	CDS	protein of unknown function DUF214	PFAM: protein of unknown function DUF214; KEGG: sfu:Sfum_2810 ABC transporter related	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.931) with cleavage site probability 0.470 at residue 40
130305	131678	+	1374	Amuc_0105	CDS	RND efflux system, outer membrane lipoprotein, NodT family	TIGRFAM: RND efflux system, outer membrane lipoprotein, NodT family; PFAM: outer membrane efflux protein; KEGG: sfu:Sfum_0447 transcriptional regulator, fis family	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.625) with cleavage site probability 0.624 at residue 22
131881	133017	-	1137	Amuc_0106	CDS	beta-lactamase	PFAM: beta-lactamase; KEGG: cak:Caul_0571 beta-lactamase	-
133142	136318	-	3177	Amuc_0107	CDS	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	TIGRFAM: transporter, hydrophobe/amphiphile efflux-1 (HAE1) family; PFAM: acriflavin resistance protein; KEGG: aba:Acid345_4071 hydrophobe/amphiphile efflux-1 HAE1	-
136322	137698	-	1377	Amuc_0108	CDS	efflux transporter, RND family, MFP subunit	TIGRFAM: efflux transporter, RND family, MFP subunit; PFAM: secretion protein HlyD family protein; KEGG: sfu:Sfum_1458 efflux transporter, RND family, MFP subunit	-
137741	138166	-	426	Amuc_0109	CDS	transcriptional regulator, MarR family	PFAM: regulatory protein MarR; KEGG: tme:Tmel_0135 transcriptional regulator, MarR family	-
138287	138973	-	687	Amuc_0110	CDS	protein of unknown function UPF0066	PFAM: protein of unknown function UPF0066; KEGG: dsy:DSY1150 hypothetical protein	-
139030	140304	-	1275	Amuc_0111	CDS	dihydroorotase, multifunctional complex type	KEGG: pth:PTH_1811 dihydroorotase and related cyclic amidohydrolases; TIGRFAM: dihydroorotase, multifunctional complex type; PFAM: amidohydrolase; Amidohydrolase 3	-
140311	141240	-	930	Amuc_0112	CDS	aspartate carbamoyltransferase	TIGRFAM: aspartate carbamoyltransferase; PFAM: aspartate/ornithine carbamoyltransferase Asp/Orn-binding region; aspartate/ornithine carbamoyltransferase carbamoyl-P binding domain; KEGG: chy:CHY_1502 aspartate carbamoyltransferase	-
141269	141802	-	534	Amuc_0113	CDS	phosphoribosyltransferase	PFAM: phosphoribosyltransferase; KEGG: dra:DR_1110 pyrimidine operon regulatory protein PyrR	-
141829	142239	-	411	Amuc_0114	CDS	1-(5-phosphoribosyl)-5-amino-4-imidazole- carboxylate (AIR) carboxylase	PFAM: 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase; KEGG: pmo:Pmob_1955 phosphoribosylaminoimidazole carboxylase	-
142404	142976	-	573	Amuc_0115	CDS	hypothetical protein	-	-
143259	144851	-	1593	Amuc_0116	CDS	FAD dependent oxidoreductase	PFAM: HI0933 family protein; FAD dependent oxidoreductase; FAD-dependent pyridine nucleotide-disulphide oxidoreductase; KEGG: dde:Dde_2466 hypothetical protein	-
144848	145903	-	1056	Amuc_0117	CDS	Agmatine deiminase	PFAM: Porphyromonas-type peptidyl-arginine deiminase; KEGG: cau:Caur_3305 agmatine deiminase	-
145920	146315	-	396	Amuc_0118	CDS	conserved hypothetical protein	KEGG: rba:RB2907 hypothetical protein	-
146653	147972	+	1320	Amuc_0119	CDS	hypothetical protein	KEGG: nha:Nham_1572 peptidase S1C, Do	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.938) with cleavage site probability 0.747 at residue 20
148008	149318	+	1311	Amuc_0120	CDS	protein of unknown function UPF0118	PFAM: protein of unknown function UPF0118; KEGG: ssa:SSA_0899 conserved permease, putative	-
149378	150958	+	1581	Amuc_0121	CDS	sulfatase	PFAM: sulfatase; KEGG: bth:BT_1624 putative secreted sulfatase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.531 at residue 23
150978	151466	+	489	Amuc_0122	CDS	hypothetical protein	-	-
151587	152870	+	1284	Amuc_0123	pseduogene	pseduogene	-	-
153200	154495	-	1296	Amuc_0124	CDS	protein of unknown function DUF303 acetylesterase putative	PFAM: protein of unknown function DUF303 acetylesterase putative; KEGG: bxe:Bxe_A3689 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.995) with cleavage site probability 0.468 at residue 21
154751	155500	+	750	Amuc_0125	CDS	lipolytic protein G-D-S-L family	PFAM: lipolytic protein G-D-S-L family; KEGG: rba:RB973 mucin-desulfating sulfatase (N-acetylglucosamine-6-sulfatase)	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.999 at residue 28
155648	157957	-	2310	Amuc_0126	CDS	hypothetical protein	KEGG: tva:TVAG_368240 plectin, putative Pfam: Vicilin_N PROSITE: ALA_RICH GLU_RICH LYS_RICH SER_RICH	-
158329	158709	+	381	Amuc_0127	CDS	transposase IS3/IS911 family protein	PFAM: transposase IS3/IS911 family protein	-
158875	160968	+	2094	Amuc_0128	CDS	DNA topoisomerase (ATP-hydrolyzing)	PFAM: DNA gyrase/topoisomerase IV subunit A; KEGG: pdi:BDI_3197 DNA topoisomerase IV subunit A	-
161072	161146	+	75	Amuc_R0009	tRNA	tRNA-Thr	-	-
161502	162062	+	561	Amuc_0129	CDS	hypothetical protein	KEGG: msu:MS0108 hypothetical protein	-
162202	162585	-	384	Amuc_0130	CDS	hypothetical protein	-	-
162704	163030	-	327	Amuc_0131	CDS	hypothetical protein	-	-
163100	163321	+	222	Amuc_0132	CDS	hypothetical protein	-	-
163372	164256	+	885	Amuc_0133	CDS	parB-like partition protein	TIGRFAM: parB-like partition protein; PFAM: ParB domain protein nuclease; KEGG: cbe:Cbei_5094 ParB-like partition protein	-
164276	165220	+	945	Amuc_0134	CDS	peptidase M28	PFAM: peptidase M28; KEGG: hau:Haur_0003 peptidase M28	-
165259	167241	+	1983	Amuc_0135	CDS	conserved hypothetical membrane protein	TIGRFAM: conserved hypothetical membrane protein; PFAM: protein of unknown function DUF1550; KEGG: rba:RB8992 hypothetical protein-transmembrane prediction	-
167238	169436	+	2199	Amuc_0136	CDS	conserved hypothetical protein-putative transmembrane protein	KEGG: rba:RB8999 conserved hypothetical protein-putative transmembrane protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.975) with cleavage site probability 0.972 at residue 21
169490	170860	-	1371	Amuc_0137	CDS	hypothetical protein	-	-
170889	171245	+	357	Amuc_0138	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.656) with cleavage site probability 0.500 at residue 38
171270	172250	-	981	Amuc_0139	CDS	conserved hypothetical protein	KEGG: pap:PSPA7_3262 hypothetical protein	-
172287	173468	-	1182	Amuc_0140	CDS	tyrosyl-tRNA synthetase	KEGG: aae:aq_1751 tyrosyl-tRNA synthetase; TIGRFAM: tyrosyl-tRNA synthetase; PFAM: aminoacyl-tRNA synthetase class Ib	-
